title,title_english,title_romaji,title_native,year,season,format,episodes,canonical_key,mal_id,anilist_id,kitsu_id,anidb_id,imdb_id,tvdb_id,tmdb_id,simkl_id,status,progress,score,last_updated,source
Mashle,MASHLE: MAGIC AND MUSCLES,Mashle,マッシュル,2023,SPRING,TV,12,kitsu_46229,52211,151801,46229,17478,tt21209804,421737,204832,,completed,12,0,2025-02-15T18:43:02.477000+00:00,
Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,MASHLE: MAGIC AND MUSCLES - The Divine Visionary Candidate Exam Arc,Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,マッシュル,2024,WINTER,TV,12,mal_55813,55813,166610,47671,18088,tt21209804,421737,204832,2199482,plantowatch,0,0,2026-08-07T21:10:41.801747+00:00,
Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,MASHLE: MAGIC AND MUSCLES - The Divine Visionary Candidate Exam Arc,Mashle: Shinkakusha Kouho Senbatsu Shiken-hen,マッシュル,2024,WINTER,TV,12,kitsu_47671,55813,166610,47671,18088,tt21209804,421737,204832,,plantowatch,0,0,2025-02-15T18:43:49.603000+00:00,
"Mata Korosarete Shimatta no desu ne, Tantei-sama","Mata Korosarete Shimatta no Desu ne, Tantei-sama","Mata Korosarete Shimatta no desu ne, Tantei-sama",またころ,2026,SPRING,TV,12,mal_62964,62964,202381,50554,19722,tt39122702,470519,312293,2936722,plantowatch,0,0,2026-08-07T21:10:41.801936+00:00,manual_override
"Mata Korosarete Shimatta no desu ne, Tantei-sama","Mata Korosarete Shimatta no Desu ne, Tantei-sama","Mata Korosarete Shimatta no desu ne, Tantei-sama",またころ,2026,SPRING,TV,12,kitsu_50554,62964,202381,50554,19722,tt39122702,470519,312293,,plantowatch,0,0,2026-06-30T12:01:42.453000+00:00,manual_override
Mato Seihei no Slave,Demon Slave - Lo schiavo delle combattenti in Mato,Mato Seihei no Slave,まぼうたい,2024,WINTER,TV,12,mal_50392,50392,141821,45512,16982,tt16156736,412656,139060,1781532,plantowatch,0,0,2026-08-07T21:10:41.801631+00:00,
Mato Seihei no Slave,Demon Slave - Lo schiavo delle combattenti in Mato,Mato Seihei no Slave,まぼうたい,2024,WINTER,TV,12,kitsu_45512,50392,141821,45512,16982,tt16156736,412656,139060,,plantowatch,0,0,2024-05-30T07:53:52.587000+00:00,
"Megami ""Isekai Tensei Nani ni Naritai desu ka"" Ore ""Yuusha no Rokkotsu de""","Goddess: ""What Do You Want to Turn Into When You're Reincarnated in Another World?"" Me: ""Into a Hero's Rib""","Megami ""Isekai Tensei Nani ni Naritai desu ka"" Ore ""Yuusha no Rokkotsu de""",勇者の肋骨,2026,SPRING,TV,12,mal_63376,63376,206951,50642,19862,tt40547960,473229,312522,3006108,completed,12,0,2026-08-07T18:36:41+00:00,
"Megami ""Isekai Tensei Nani ni Naritai desu ka"" Ore ""Yuusha no Rokkotsu de""","Goddess: ""What Do You Want to Turn Into When You're Reincarnated in Another World?"" Me: ""Into a Hero's Rib""","Megami ""Isekai Tensei Nani ni Naritai desu ka"" Ore ""Yuusha no Rokkotsu de""",勇者の肋骨,2026,SPRING,TV,12,kitsu_50642,63376,206951,50642,19862,tt40547960,473229,312522,,watching,2,0,2026-06-30T12:14:53.097000+00:00,
Meikyuu Black Company,The Dungeon of Black Company,Meikyuu Black Company,迷宮ブラックカンパニー,2021,SUMMER,TV,12,mal_42340,42340,120608,43268,15619,tt13943462,388574,105476,1380621,completed,12,0,2026-08-07T18:35:56+00:00,
Meikyuu Black Company,The Dungeon of Black Company,Meikyuu Black Company,迷宮ブラックカンパニー,2021,SUMMER,TV,12,kitsu_43268,42340,120608,43268,15619,tt13943462,388574,105476,,watching,6,0,2025-02-15T18:43:14.713000+00:00,
